"HolderAddress","Balance","PendingBalanceUpdate"
"0x60b0bac06ff5d46b3a4c7633b00f4933e3cddde0","1000","No"
"0x614a61a3b7f2fd8750acaad63b2a0cfe8b8524f1","1000","No"
"0x6186290b28d511bff971631c916244a9fc539cfe","1000","No"
"0x61a83d61ec0d94b365441ed7bf1d2a4ae777785d","1000","No"
"0x61b50a74376a9cd1dabf20bc922017441f9f8267","1000","No"
"0x61e725451c31189a32a6ffb604b7c23475eba10b","1000","No"
"0x61ff15db4ff75b180cdc3351f71fcc288606366f","1000","No"
"0x629cd43eaf443e66a9a69ed246728e1001289eac","5000","No"
"0x6301add4fb128de9778b8651a2a9278b86761423","1000","No"
"0x64440444a1fd95d271438b7b0199ea5f1844661b","1000","No"
"0x644a169a572bd72fe1ac2120294248850c75aab2","1000","No"
"0x6463dbd8ae7dfb08cfe903cdf98ea7558faf36e6","1000","No"
"0x64abc5b10c77d93be5038e7b4965d2f0d8279127","3000","No"
"0x6514304c439565bc6bf5e60dc69dc355a034e6c3","3000","No"
"0x6519e6117480d140cd7d33163ac30fd01812f34a","3000","No"
"0x652ea1ca01769ed819b765d87d84e11890a37716","3000","No"
"0x6576cb9c44b7a8009b47ed9f6df1576275c4b5e8","1000","No"
"0x658fe4301332780653e15a498a5e6c7c8ebf8603","1000","No"
"0x65c671aa1653a28bc6d16c31a4597ed677fff45d","1000","No"
"0x662d5d79849113a5403af776210307a7c82a5267","5000","No"
"0x66e83bd51f84fbdb3432f5104f38d8e851a32281","1000","No"
"0x6717af6cef0ac26999eec6484ed213c9ff81a257","5000","No"
"0x6761bcaf2b2156c058634d9772f07374d6edef1d","1000","No"
"0x68a7ac13477aad590982293feeeb786a00276cf2","6000","No"
"0x696ef7ffa70b25666e394a095b0d46b2c17a2662","6000","No"
"0x69bab6810fa99475854bca0a3dd72ae6a0728ece","1000","No"
"0x6aabb800cbf452db2e3980afcf9bf7be1baad57b","1000","No"
"0x6ab075abfa7cdd7b19fa83663b1f2a83e4a957e3","1000","No"
"0x6b0bf3dd3f83c1776769a87cb080ef370288f355","3000","No"
"0x6c3e007377effd74afe237ce3b0aeef969b63c91","5895.5907","No"
"0x6d27109ee133835817eb9f232cf5047879ca3be9","1000","No"
"0x6dfc99cdefd0f2da327b0f31fd0046d8096e955b","1000","No"
"0x6e3998bab30f24d0b7bb09a24fbc7105f3f2dcf8","1000","No"
"0x6ed0fe7fd0e1b3ebc831bd71a4c08e64adc04c5f","1000","No"
"0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68","91000","No"
"0x6f31779b86eb507f110ce4b506ef022e500828a3","1000","No"
"0x6f35b0cfc58eb1e21eef8a439bbb0ce4c929d32a","1000","No"
"0x6fe0d36b3bdccaf2ada8f48e1e5f949ed49ca944","1000","No"
"0x705200b2a465f909637b71e85a04768d3a6f46fe","5000","No"
"0x70ad26c087ab0650b3e84cd42fb220e1c45b8f51","1000","No"
"0x7193b82899461a6ac45b528d48d74355f54e7f56","1000","No"
"0x71f9ccd68bf1f5f9b571f509e0765a04ca4ffad2","1000","No"
"0x720a4fab08cb746fc90e88d1924a98104c0822cf","1000","No"
"0x720c9244473dfc596547c1f7b6261c7112a3dad4","31.2321","No"
"0x727646dcbc60a7c0b38c64c649a3866950443d10","1000","No"
"0x734ecfb21ef666e9d8c171e37f6b5fd06712a3a0","1000","No"
"0x73dac69b5dbce7772550ff0e140d165d39a289ac","1000","No"
"0x7424c2f6a6080ee56c5a0cb37540c424217de5b1","1000","No"
"0x756606715aa3d0ea98cc68ef59e70a3441991a72","1000","No"
"0x7575fd8a69005f3f780bd745c7cb78b540d3878b","1000","No"
"0x75fda6bfac282634323be70bb27a2c0839082ac5","100","No"
"0x76d2185834cf02e5a65622d5e26ab112df20ced1","1000","No"
"0x76fbdc28e90553d9f979140c6f7fc4565ebbecf3","1000","No"
"0x7763d36925dfd009def58a47ee333c124d879c47","1000","No"
"0x7779756dc9f66a5f769f34bf0918d6c180783bd7","1000","No"
"0x77949c6e085acd4905d9094b30b8ef8e1cc0387b","7000","No"
"0x78037259d224047c56788e2f79207be2f526d441","1000","No"
"0x783c028493e14863397090e6b2ed5e26182160ee","1000","No"
